Title,Price,Location,BasicsData,Equipment
Audi Q7 3.0 V6  TDI SUV / Geländewagen,€ 45.500,"Gerasdorferstr 362 2201 Gerasdorf Korneuburg, Niederösterreich ","{'Erstzulassung': '04/2016', 'Kilometerstand': '108.000 km', 'Vorbesitzer': '1', 'Leistung': '272 PS (200 kW)', 'Treibstoff': 'Diesel', 'Getriebeart': 'Automatik', 'Antrieb': 'Allrad', 'Außenfarbe': 'Weiß', 'Zustand': 'Gebrauchtwagen', 'Anzahl Türen': '5', 'Fahrzeugtyp': 'SUV / Geländewagen', 'Anzahl Sitze': '7', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '04.2023'}",
"Audi TT 2,0 Tfsi S-Tronic Quattro Sportwagen / Coupé",€ 26.000,"Innsbrucker Bundesstraße 5020 Salzburg Salzburg Stadt, Salzburg ","{'Erstzulassung': '02/2016', 'Vorbesitzer': '2', 'Getriebeart': 'Automatik', 'Kilometerstand': '126.000 km', 'Leistung': '230 PS (169 kW)', 'Treibstoff': 'Benzin', 'Antrieb': 'Allrad', 'Zustand': 'Gebrauchtwagen', 'Fahrzeugtyp': 'Sportwagen / Coupé', 'Anzahl Türen': '3', 'Anzahl Sitze': '4', 'Außenfarbe': 'Weiß', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '01.2024', 'Servicegepflegt': ''}","['8-fach Bereift', 'ABS', 'Alarmanlage', 'Bluetooth / USB', 'Einparkhilfe', 'elektr. Fensterheber', 'elektr. Sitze', 'Fahrerairbag', 'Freisprecheinrichtung', 'Handy induktiv laden', 'Klimaanlage', 'Klimaautomatik', 'Kurvenfahrlicht', 'Lederausstattung', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lichtsensor', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Nichtraucherfahrzeug', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Regensensor', 'Reifendrucksensor', 'Schaltwippen', 'Servicegepflegt', 'Servolenkung', 'Sitzheizung', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Spurhalteassistent', 'Start/Stopp-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkelassistent', 'Zentralverriegelung']"
"Audi A6 Avant 3,0 TDI Competition Quattro tiptronic Kombi / Family Van",€ 33.740,"Hönigtaler Straße 46 8301 Kainbach Graz-Umgebung, Steiermark ","{'Erstzulassung': '10/2015', 'Getriebeart': 'Automatik', 'Kilometerstand': '147.201 km', 'Leistung': '326 PS (240 kW)', 'Treibstoff': 'Diesel', 'Antrieb': 'Allrad', 'CO₂-Ausstoß': '169 g/km', 'Zustand': 'Gebrauchtwagen', 'Fahrzeugtyp': 'Kombi / Family Van', 'Hubraum': '2.967 ccm', 'max. Anhängelast': '2.100 kg', 'Zylinder': '6', 'Anzahl Türen': '5', 'Anzahl Sitze': '5', 'Verbrauch': '6,40 l/100km', 'Außenfarbe': 'Weiß', 'Abgasnorm': 'EURO 5', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['ABS', 'Antriebsschlupfregelung (ASR)', 'CD Player', 'Dachreling', 'elektr. Fensterheber', 'elektr. Spiegel', 'ISOFIX', 'Keyless entry', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederausstattung', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Lichtsensor', 'Lordosenstütze', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Regensensor', 'Reifendrucksensor', 'Schaltwippen', 'Schisack', 'Seitenairbags', 'Servolenkung', 'Sitzheizung', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Stabilitätsprogramme (ESP)', 'Start/Stopp-Automatik', 'Tempomat', 'Xenon', 'Zentralverriegelung']"
Audi A4 S4 Kombi / Family Van,€ 3.500,"1220 Wien, 22. Bezirk, Donaustadt ","{'Erstzulassung': '10/2003', 'Getriebeart': 'Automatik', 'Kilometerstand': '330.000 km', 'Leistung': '163 PS (120 kW)', 'Treibstoff': 'Diesel', 'Antrieb': 'Vorderrad', 'Zustand': 'Gebrauchtwagen', 'Fahrzeugtyp': 'Kombi / Family Van', 'Anzahl Türen': '5', 'Anzahl Sitze': '5', 'Außenfarbe': 'Grau', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '02.2024', 'Servicegepflegt': ''}","['ABS', 'Beifahrerairbags', 'Bluetooth / USB', 'CD Player', 'Einparkhilfe', 'elektr. Fensterheber', 'elektr. Sitze', 'elektr. Spiegel', 'Frontscheibenheizung', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederausstattung', 'LED-Scheinwerfer', 'Media-Interface / mp3', 'Multifunktionslenkrad', 'Navigationssystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Reifendrucksensor', 'Seitenairbags', 'Servicegepflegt', 'Sportpaket', 'Sportsitze', 'Tempomat']"
Audi A6 Avant 40 TDI S-tronic Kombi / Family Van,€ 33.790,"Hönigtaler Straße 46 8301 Kainbach Graz-Umgebung, Steiermark ","{'Erstzulassung': '5/2019', 'Getriebeart': 'Automatik', 'Kilometerstand': '168.735 km', 'Leistung': '204 PS (150 kW)', 'Treibstoff': 'Diesel', 'Antrieb': 'Vorderrad', 'CO₂-Ausstoß': '146 g/km', 'Zustand': 'Gebrauchtwagen', 'Fahrzeugtyp': 'Kombi / Family Van', 'Hubraum': '1.968 ccm', 'Anzahl Türen': '5', 'Anzahl Sitze': '5', 'Verbrauch': '4,70 l/100km', 'Außenfarbe': 'Schwarz', 'Abgasnorm': 'EURO 6', 'Gewährleistung': '', '§57a ""Pickerl""': '', 'MwSt. ausweisbar': ''}","['ABS', 'Alarmanlage', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bluetooth / USB', 'elektr. Fensterheber', 'elektr. Spiegel', 'ISOFIX', 'Keyless entry', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Multifunktionslenkrad', 'MwSt. ausweisbar', 'Navigationssystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Reifendrucksensor', 'Rückfahrkamera', 'Seitenairbags', 'Servolenkung', 'Sitzheizung', 'Stabilitätsprogramme (ESP)', 'Start/Stopp-Automatik', 'Tempomat', 'Zentralverriegelung']"
Audi A4 Avant B8/8K 2.0 TDI Ultra Kombi / Family Van,€ 15.900,8054 Graz Steiermark ,"{'Erstzulassung': '02/2015', 'Vorbesitzer': '2', 'Getriebeart': 'Schaltgetriebe', 'Kilometerstand': '186.000 km', 'Leistung': '163 PS (120 kW)', 'Treibstoff': 'Diesel', 'Antrieb': 'Vorderrad', 'Zustand': 'Gebrauchtwagen', 'Fahrzeugtyp': 'Kombi / Family Van', 'Anzahl Türen': '5', 'Anzahl Sitze': '5', 'Außenfarbe': 'Blau', 'Metallic\xadlackierung': '', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '02.2024', 'Servicegepflegt': ''}","['ABS', 'Abstandstempomat', 'Alarmanlage', 'Anhängerkupplung', 'Antriebsschlupfregelung (ASR)', 'Aut. Heckklappe', 'Beifahrerairbags', 'Bluetooth / USB', 'Dachgepäckträger', 'Dachreling', 'Einparkhilfe', 'elektr. Fensterheber', 'elektr. Sitze', 'elektr. Spiegel', 'Fahrerairbag', 'Fernlichtassistent', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kollisionswarner', 'Kopfairbags', 'Kurvenfahrlicht', 'Lederausstattung', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Lordosenstütze', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Nichtraucherfahrzeug', 'Notbremsassistent', 'Notrufsystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Regensensor', 'Seitenairbags', 'Servicegepflegt', 'Servolenkung', 'Sitzheizung', 'Sportfahrwerk', 'Spurhalteassistent', 'Stabilitätsprogramme (ESP)', 'Start/Stopp-Automatik', 'Tagfahrlicht', 'Tempomat', 'Xenon', 'Zentralverriegelung']"
"Audi A6 Avant 2,0 TDI Quattro Intense S-tronic S-Line Kombi / Family Van",€ 34.980,"Hönigtaler Straße 46 8301 Kainbach Graz-Umgebung, Steiermark ","{'Erstzulassung': '7/2017', 'Getriebeart': 'Automatik', 'Kilometerstand': '63.641 km', 'Leistung': '190 PS (140 kW)', 'Treibstoff': 'Diesel', 'Antrieb': 'Allrad', 'CO₂-Ausstoß': '133 g/km', 'Zustand': 'Gebrauchtwagen', 'Fahrzeugtyp': 'Kombi / Family Van', 'Hubraum': '1.968 ccm', 'Zylinder': '4', 'Anzahl Türen': '5', 'Anzahl Sitze': '5', 'Verbrauch': '4,20 l/100km', 'Außenfarbe': 'Weiß', 'Abgasnorm': 'EURO 6', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['ABS', 'Abstandstempomat', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bluetooth / USB', 'CD Player', 'Dachreling', 'elektr. Fensterheber', 'elektr. Spiegel', 'Fahrerairbag', 'Freisprecheinrichtung', 'ISOFIX', 'Keyless entry', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederausstattung', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lichtsensor', 'Lordosenstütze', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Regensensor', 'Reifendrucksensor', 'Seitenairbags', 'Servolenkung', 'Sitzheizung', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Spurhalteassistent', 'Stabilitätsprogramme (ESP)', 'Start/Stopp-Automatik', 'Tempomat', 'Zentralverriegelung']"
Audi A6 Avant 40 TDI sport S-tronic Kombi / Family Van,€ 35.990,"Hönigtaler Straße 46 8301 Kainbach Graz-Umgebung, Steiermark ","{'Erstzulassung': '4/2019', 'Getriebeart': 'Automatik', 'Kilometerstand': '146.872 km', 'Leistung': '204 PS (150 kW)', 'Treibstoff': 'Diesel', 'Antrieb': 'Vorderrad', 'CO₂-Ausstoß': '146 g/km', 'Zustand': 'Gebrauchtwagen', 'Fahrzeugtyp': 'Kombi / Family Van', 'Hubraum': '1.968 ccm', 'Anzahl Türen': '5', 'Anzahl Sitze': '5', 'Verbrauch': '4,70 l/100km', 'Außenfarbe': 'Grau', 'Gewährleistung': '', '§57a ""Pickerl""': '', 'MwSt. ausweisbar': ''}","['ABS', 'Alarmanlage', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'elektr. Fensterheber', 'elektr. Spiegel', 'ISOFIX', 'Keyless entry', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lordosenstütze', 'Multifunktionslenkrad', 'MwSt. ausweisbar', 'Navigationssystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Reifendrucksensor', 'Rückfahrkamera', 'Schaltwippen', 'Schiebedach', 'Seitenairbags', 'Servolenkung', 'Sportsitze', 'Stabilitätsprogramme (ESP)', 'Start/Stopp-Automatik', 'Tempomat', 'Zentralverriegelung']"
Audi A6 Avant 50 TDI quattro sport tiptronic Kombi / Family Van,€ 39.490,"Hönigtaler Straße 46 8301 Kainbach Graz-Umgebung, Steiermark ","{'Erstzulassung': '12/2018', 'Getriebeart': 'Automatik', 'Kilometerstand': '171.804 km', 'Leistung': '286 PS (210 kW)', 'Treibstoff': 'Hybrid Elektro/Diesel', 'Antrieb': 'Allrad', 'CO₂-Ausstoß': '173 g/km', 'Zustand': 'Gebrauchtwagen', 'Fahrzeugtyp': 'Kombi / Family Van', 'Hubraum': '2.967 ccm', 'Zylinder': '6', 'Anzahl Türen': '5', 'Anzahl Sitze': '5', 'Außenfarbe': 'Braun', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['ABS', 'Alarmanlage', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'elektr. Fensterheber', 'elektr. Sitze', 'elektr. Spiegel', 'Fahrerairbag', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lordosenstütze', 'Navigationssystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Reifendrucksensor', 'Rückfahrkamera', 'Schaltwippen', 'Seitenairbags', 'Servolenkung', 'Sitzheizung', 'Sportsitze', 'Stabilitätsprogramme (ESP)', 'Start/Stopp-Automatik', 'Tempomat']"
"Audi A6 Avant 3,0 TDI 3x S-Line Quattro Sport S-tronic Kombi / Family Van",€ 26.800,"Grazerstraße 25 8120 Peggau Graz-Umgebung, Steiermark ","{'Erstzulassung': '8/2015', 'Vorbesitzer': '2', 'Getriebeart': 'Automatik', 'Kilometerstand': '151.000 km', 'Leistung': '218 PS (160 kW)', 'Treibstoff': 'Diesel', 'Antrieb': 'Allrad', 'CO₂-Ausstoß': '138 g/km', 'Zustand': 'Gebrauchtwagen', 'Fahrzeugtyp': 'Kombi / Family Van', 'Hubraum': '2.967 ccm', 'max. Anhängelast': '2.100 kg', 'Zylinder': '6', 'Anzahl Türen': '5', 'Anzahl Sitze': '5', 'Verbrauch': '5,30 l/100km', 'Außenfarbe': 'Weiß', 'Abgasnorm': 'EURO 6', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '8.2023', 'Servicegepflegt': ''}","['8-fach Bereift', 'ABS', 'Antriebsschlupfregelung (ASR)', 'Aut. Heckklappe', 'Beifahrerairbags', 'Bluetooth / USB', 'Bordcomputer', 'CD Player', 'Dachreling', 'Einparkhilfe', 'elektr. Fensterheber', 'elektr. Sitze', 'elektr. Spiegel', 'Fahrerairbag', 'Fernlichtassistent', 'Freisprecheinrichtung', 'Handy induktiv laden', 'Head-Up-Display', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kollisionswarner', 'Kopfairbags', 'Kurvenfahrlicht', 'Lederausstattung', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lenkradheizung', 'Lichtsensor', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Notbremsassistent', 'Notrufsystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Regensensor', 'Reifendrucksensor', 'Schaltwippen', 'Schisack', 'Seitenairbags', 'Servicegepflegt', 'Servolenkung', 'Sitzheizung', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Spurhalteassistent', 'Stabilitätsprogramme (ESP)', 'Start/Stopp-Automatik', 'Tagfahrlicht', 'Tempomat', 'Xenon', 'Zentralverriegelung']"
