Title,Price,Location,Erstzulassung,Kilometerstand,Leistung,Treibstoff,Getriebeart,Fahrzeugtyp,Vorbesitzer,Zustand,Antrieb,CO₂-Ausstoß,Verbrauch,Anzahl Türen,Anzahl Sitze,RestAttributes,Equipment
(reserviert) Audi 80 Quattro COMPETITION Limousine,Reserviert,"4863 Seewalchen am Attersee Vöcklabruck, Oberösterreich ",05/1994,186.520 km,140 PS (103 kW),Benzin,Schaltgetriebe,Limousine,2,Gebrauchtwagen,Allrad,NaN,NaN,4,5,"{'Außenfarbe': 'Schwarz', 'Metallic\xadlackierung': '', '§57a ""Pickerl""': '', 'Servicegepflegt': ''}","['ABS', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Metallic-Lackierung', 'Nichtraucherfahrzeug', 'Servicegepflegt', 'Sperrdifferential', 'Sportpaket', 'Sportsitze', 'Zentralverriegelung']"
"Audi Q3 2,0TDI qu. S-tronic Leder+Navi SUV / Geländewagen",€ 19.800,3500 Krems an der Donau Niederösterreich ,04/2013,99.500 km,177 PS (130 kW),Diesel,Automatik,SUV / Geländewagen,2,Gebrauchtwagen,Allrad,156 g/km,"5,90 l/100km",5,5,"{'Zylinder': '4', 'Außenfarbe': 'Silber', 'Abgasnorm': 'EURO 5', 'Metallic\xadlackierung': '', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '04.2024', 'Servicegepflegt': ''}","['8-fach Bereift', 'ABS', 'Alarmanlage', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bluetooth / USB', 'Bordcomputer', 'CD Player', 'Dachreling', 'elektr. Fensterheber', 'elektr. Spiegel', 'Fahrerairbag', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederausstattung', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Lordosenstütze', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Nichtraucherfahrzeug', 'Parksensor hinten', 'Radio', 'Regensensor', 'Seitenairbags', 'Servicegepflegt', 'Servolenkung', 'Sitzheizung', 'Stabilitätsprogramme (ESP)', 'Start/Stopp-Automatik', 'Tagfahrlicht', 'Tempomat', 'Winterpaket', 'Xenon', 'Zentralverriegelung']"
Audi Q8 50 TDI quattro SUV / Geländewagen,€ 84.730,Ossiacherzeile 50 9500 Villach Kärnten ,10/2019,76.705 km,286 PS (210 kW),Diesel,Automatik,SUV / Geländewagen,NaN,Gebrauchtwagen,Allrad,181 g/km,NaN,4,5,"{'Hubraum': '2.967 ccm', 'Außenfarbe': 'Grau', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['Alarmanlage', 'Aut. Heckklappe', 'Beifahrerairbags', 'Bluetooth / USB', 'Dachreling', 'elektr. Sitze', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Keyless entry', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Lordosenstütze', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Zentralverriegelung']"
Audi A4 Limousine 35 TFSI S line Limousine,€ 37.990,Ossiacherzeile 50 9500 Villach Kärnten ,9/2021,2.460 km,150 PS (110 kW),Benzin,Schaltgetriebe,Limousine,NaN,Gebrauchtwagen,Vorderrad,141 g/km,NaN,4,5,"{'Hubraum': '1.984 ccm', 'Außenfarbe': 'Blau', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['Beifahrerairbags', 'Bluetooth / USB', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Kurvenfahrlicht', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lichtsensor', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Sportfahrwerk', 'Tagfahrlicht', 'Tempomat']"
Audi Q2 30 TFSI intense SUV / Geländewagen,€ 30.760,Ossiacherzeile 50 9500 Villach Kärnten ,3/2023,5.000 km,110 PS (81 kW),Benzin,Schaltgetriebe,SUV / Geländewagen,NaN,Gebrauchtwagen,Vorderrad,131 g/km,NaN,4,5,"{'Hubraum': '999 ccm', 'Außenfarbe': 'Weiß', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['ABS', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bluetooth / USB', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Keyless entry', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'LED-Scheinwerfer', 'Media-Interface / mp3', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Reifendrucksensor', 'Rückfahrkamera', 'Seitenairbags', 'Stabilitätsprogramme (ESP)', 'Tempomat', 'Zentralverriegelung']"
Audi A4 Audi A4 quadro Kombi / Family Van,€ 400,"Gregorweg 1 9536 St. Egyden Villach Land, Kärnten ",10/2006,349.000 km,139 PS (102 kW),Diesel,Schaltgetriebe,Kombi / Family Van,2,Gebrauchtwagen,Allrad,NaN,NaN,4,5,{'Außenfarbe': 'Blau'},NaN
Audi A4 Avant 35 TDI Kombi / Family Van,€ 51.790,Ossiacherzeile 50 9500 Villach Kärnten ,3/2023,5.000 km,163 PS (120 kW),Diesel,Automatik,Kombi / Family Van,NaN,Gebrauchtwagen,Vorderrad,132 g/km,NaN,4,5,"{'Hubraum': '1.968 ccm', 'Außenfarbe': 'Schwarz', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['Abstandstempomat', 'Aut. Heckklappe', 'Beifahrerairbags', 'Bluetooth / USB', 'Dachreling', 'elektr. Sitze', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lichtsensor', 'Lordosenstütze', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Reifendrucksensor', 'Rückfahrkamera', 'Seitenairbags', 'Sitzheizung', 'Spurhalteassistent', 'Tempomat']"
Audi A1 Sportback 25 TFSI intense Limousine,€ 26.810,Ossiacherzeile 50 9500 Villach Kärnten ,3/2023,5.000 km,95 PS (70 kW),Benzin,Schaltgetriebe,Limousine,NaN,Gebrauchtwagen,Vorderrad,129 g/km,NaN,4,5,"{'Hubraum': '999 ccm', 'Außenfarbe': 'Rot', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['ABS', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bluetooth / USB', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Parksensor hinten', 'Radio', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Stabilitätsprogramme (ESP)', 'Tempomat']"
Audi A3 Sportback 30 TFSI intense Limousine,€ 33.990,Ossiacherzeile 50 9500 Villach Kärnten ,3/2023,5.000 km,110 PS (81 kW),Benzin,Schaltgetriebe,Limousine,NaN,Gebrauchtwagen,Vorderrad,132 g/km,NaN,4,5,"{'Hubraum': '999 ccm', 'Außenfarbe': 'Rot', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['Bluetooth / USB', 'Dachreling', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lichtsensor', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Parksensor hinten', 'Radio', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Tempomat']"
Audi A3 Sportback 30 TDI intense Limousine,€ 33.910,Ossiacherzeile 50 9500 Villach Kärnten ,6/2022,10.000 km,116 PS (85 kW),Diesel,Schaltgetriebe,Limousine,NaN,Gebrauchtwagen,Vorderrad,122 g/km,NaN,4,5,"{'Außenfarbe': 'Schwarz', 'Hubraum': '1.968 ccm', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['Bluetooth / USB', 'Dachreling', 'elektr. Spiegel', 'Freisprecheinrichtung', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lichtsensor', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Parksensor hinten', 'Radio', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Sportsitze', 'Tempomat']"
